no,MOLENAME,Plate location,cas,"Weight, mg",Bioactivity,Formula,MolWt,Status,Reference
35,Dienestrol,1-D6,84-17-3,"125µl,10mMol/L","Dienestrol is a synthetic, non-steroidal estrogen. It is an estrogen receptor agonist. Estrogens work partly by increasing a normal clear discharge from the vagina and making the vulva and urethra healthy.",C18H18O2,266.34,"USP, INN, BAN","1. Juriansz RL, et al. Cancer Res. 1988 Jan 1;48(1):14-8. "
36,Enoxolone,1-D7,471-53-4,"125µl,10mMol/L","Enoximone is a selective phosphodiesterase inhibitor with vasodilating and positive inotropic activity that does not cause changes in myocardial oxygen consumption. It is used in patients with congestive heart failure. Trials were halted in the U.S., but the drug is used in various countries.",C30H46O4,470.68,"INN, BAN, JAN","1. Boldt J, et al. Expert Opin Pharmacother. 2007, 8(13):2135-47. "
37,Halazone,1-D8,80-13-7,"125µl,10mMol/L","Stable, but may be light sensitive. Incompatible with strong oxidizing agents",C7H5Cl2NO4S,270.09,"USP, INN",1. HACKENBERG HW. Z Gesamte Hyg. 1964 Apr;10:241-51.
38,Doxapram HCl,1-D9,7081-53-0,"125µl,10mMol/L",Doxapram HCl is a respiratory stimulant.,C25H33ClN2O2,432.99,"USP, INN, BAN, JAN",1. Yost CS. CNS Drug Rev. 2006 Fall-Winter;12(3-4):236-49.
39,Dapoxetine HCl,1-D10,119356-77-3,"125µl,10mMol/L","Dapoxetine is a selective serotonin reuptake inhibitor, for the treatment of premature ejaculation.",C21H23NO,305.41,"USAN, INN, BAN","1. Wang WF, et al. Chin Med J (Engl). 2007 Jun 5;120(11):1000-6. "
40,Quinestrol,1-D11,152-43-2,"125µl,10mMol/L","The 3-cyclopentyl ether of ETHINYL ESTRADIOL. After gastrointestinal absorption, it is stored in ADIPOSE TISSUE, slowly released, and metabolized principally to the parent compound.",C25H32O2,364.53,"USAN, USP-XXII, INN, BAN","1. Shyu C, et al. Toxicol Appl Pharmacol. 2010 Nov 12. "
41,Cresol,1-E2,1319-77-3,"125µl,10mMol/L",It is mixture used as Local antiseptic.,C7H8O,108.14,"USAN, NF, JAN","1. Meza-Escalante ER, et al. J Basic Microbiol. 2015 Feb;55(2):180-5. "
42,Xylometazoline HCl,1-E3,1218-35-5,"125µl,10mMol/L","A nasal vasoconstricting decongestant drug which acts by binding to the same receptors as adrenaline. It is applied as a spray or as drops into the nose to ease inflammation and congestion of the nasal passageways. It binds alpha-adrenergic receptors to activate the adrenal system which causes systemic vasoconstriction, thereby easing nasal congestion. ",C16H24N2.HCl,280.84,"USP, INN, BAN","1. Haenisch B, Fundam Clin Pharmacol, 2010, 24(6), 729-739."
43,Amidrine,1-E4,543-82-8,"125µl,10mMol/L",Octodrine is a stimulant drug whose pharmacology was briefly studied in the early 1950s. A platinum complex form of the molecule was also investigated as a possible anti-tumor drug,C8H19N,129.24,"USAN, INN",1. SEMENZA F. Boll Soc Ital Biol Sper. 1951 Mar;27(3 bis):354-7.
44,Oxethazaine,1-E5,126-27-2,"125µl,10mMol/L",Has been used in combination with antacids for ulcer pain.,C28H41N3O3,467.64,"USAN, INN, BAN, JAN","1. Lee SY, et al. Pharmacol Biochem Behav. 2013 Apr;105:98-104. "
45,Heptaminol HCl,1-E6,543-15-7,"125µl,10mMol/L",An amino alcohol that has been used as a myocardial stimulant and vasodilator and to relieve bronchospasm. Its most common therapeutic use is in orthostatic hypotension. The mechanism of heptaminol's therapeutic actions is not well understood although it has been suggested to affect catecholamine release or calcium metabolism. ( ),C8H20ClNO,181.71,"INN, BAN",1. GARRETT J. Arch Int Pharmacodyn Ther. 1954 Nov 1;100(1):17-34.
46,Arsenic oxide (3),1-E7,1327-53-3,"125µl,10mMol/L","Arsenic trioxide is a chemotheraputic agent of idiopathic function used to treat leukemia that is unresponsive to first line agents. It is suspected that arsenic trisulfide induces cancer cells to undergo apoptosis. Due to the toxic nature of arsenic, this drug carries significant health risks. The enzyme thioredoxin reductase has recently been identified as a target for arsenic trioxide.  ",As2O3,197.84,"USAN, JAN","1. Babaeivelni K, et al. J Environ Sci Health A Tox Hazard Subst Environ Eng. 2014;49(13):1462-73. "
47,"10,11-Dimethoxystrychnine",1-E8,357-57-3,"125µl,10mMol/L",Extracted from Strychnos nux-vomica L.,C23H26N2O4,394.46,"USP, INN, BAN, JAN","1. Liu F, et al. Int J Biol Macromol. 2015 Jun;77:92-8."
48,Corvotone,1-E9,59-26-7,"125µl,10mMol/L","Nikethamide is a stimulant which mainly affects the respiratory cycle. Widely known by its former trade name of Coramine, it was used in the mid-twentieth century as a medical countermeasure against tranquilizer overdoses, before the advent of endotracheal intubation and positive-pressure lung expansion. It is now considered to be of no value for such purposes, and may be dangerous",C10H14N2O,178.23,"NF-XIII, INN, BAN","1. ECKENHOFF JE, HAFKENSCHIEL JH. J Pharmacol Exp Ther. 1947 Dec;91(4):362-9."
49,Azlocillin sodium,1-E10,37091-65-9,"125µl,10mMol/L",Azlocillin is an acylampicillin with a broad spectrum against bacteria,C20H22N5NaO6S,483.47,"USAN, INN, BAN","1. Stewart D, et al. Antimicrob Agents Chemother, 1977, 11(5), 865-870."
50,4-Aminoantipyrine,1-E11,30505,"125µl,10mMol/L","Ampyrone is a metabolite of aminopyrine with analgesic, anti-inflammatory, and antipyretic properties. Due to the risk of agranulocytosis its use as a drug is discouraged. It is used as a reagent for biochemical reactions producing peroxides or phenols. Ampyrone stimulates liver microsomes and is also used to measure extracellular water.",C11H13N3O,203.24,"NF, INN, JAN","1. Brune K, Neubert A. Clin Exp Rheumatol. 2001 Nov-Dec;19(6 Suppl 25):S51-7."
51,Urethane,1-F2,51-79-6,"125µl,10mMol/L","Ethyl carbamate (also known as urethan and urethane), formerly marketed as an inactive ingredient in Profenil injection, was determined to be carcinogenic and was removed from the Canadian, US, and UK markets in 1963.",C3H7NO2,89.09,"NF-XIII, INN","1. Wang GF, et al. Eur Rev Med Pharmacol Sci. 2014;18(10):1454-7."
52,Strychnine,1-F3,57-24-9,"125µl,10mMol/L","An alkaloid found in the seeds of STRYCHNOS NUX-VOMICA. It is a competitive antagonist at glycine receptors and thus a convulsant. It has been used as an analeptic, in the treatment of nonketotic hyperglycinemia and sleep apnea, and as a rat poison. ",C21H22N2O2,334.41,NF-IX,"1. Brams et al.  PLoS Biol, 2011, 9 (3)."
53,Hydroxyzine Pamoate,1-F4,10246-75-0,"125µl,10mMol/L","A histamine H1 receptor antagonist that is effective in the treatment of chronic urticaria, dermatitis, and histamine-mediated pruritus. Unlike its major metabolite cetirizine, it does cause drowsiness. It is also effective as an antiemetic, for relief of anxiety and tension, and as a sedative. ",C44H43ClN2O8,763.27,"USP, JAN","1. Spahr L, et al. Am J Gastroenterol. 2007 Apr;102(4):744-53. "
54,Disulfiram,1-F5,97-77-8,"125µl,10mMol/L","Disulfiram is a specific inhibitor of aldehyde-dehydrogenase (ALDH1), used for the treatment of chronic alcoholism by producing an acute sensitivity to alcohol.",C10H20N2S4,296.54,"USP, INN, BAN, JAN","1. Mackenzie IS, et al. Arterioscler Thromb Vasc Biol. 2005 Sep; 25(9):1891-5. "
55,Glafenine,1-F6,3820-67-5,"125µl,10mMol/L",An anthranilic acid derivative with analgesic properties used for the relief of all types of pain. ,C19H17ClN2O4,372.8,"INN, JAN","1. Kleinknecht D, et al. Clin Nephrol. 1986 Jun;25(6):275-81."
56,Oxeladin citrate,1-F7,52432-72-1,"125µl,10mMol/L","Oxeladin is a cough suppressant. It is a highly potent and effective drug used to treat all types of cough of various etiologies. It is not related to opium or its derivatives, so treatment with oxeladin is free of risk of dependence or addiction. Oxeladin has none of the side effects (such as hypnosis, respiratory depression, tolerance, constipation and analgesia) which are present when common antitussives, such as codeine and its derivatives, are used. It may be used at every age, as well as in patients with heart disease, since it has a high level of safety and a great selectivity to act on the bulbar centre of cough.",C26H41NO10,527.6,"INN, BAN","1. Knopp C, Korsatko W. Pharmazie. 1982 Jan;37(1):76-7. "
57,Famprofazone,1-F8,22881-35-2,"125µl,10mMol/L","Famprofazone (Gewodin, Gewolen) is a non-steroidal anti-inflammatory agent (NSAID) of the pyrazolone series . It has analgesic, anti-inflammatory, and antipyretic effects.",C24H31N3O,377.52,"INN, BAN","1. Chan KH, et al. J Anal Toxicol. 2010 Jul-Aug;34(6):347-53."
58,Anovigam,1-F9,938-73-8,"125µl,10mMol/L","Ethenzamide is a common analgesic and anti-inflammatory drug that is used for the relief of fever, headaches, and other minor aches and pains.",C9H11NO2,165.19,"INN, BAN, JAN","1. Darias V, et al. Arch Pharm (Weinheim). 1992 Feb;325(2):83-7."
59,Diphenylpyraline HCl,1-F10,132-18-3,"125µl,10mMol/L",Diphenylpyraline is a first-generation antihistamine with anticholinergic effects of the diphenylpiperidine class.,C19H23NO.HCl,317.85,"USP-XXI, INN, BAN, JAN","1. Lapa GB, et al. Eur J Pharmacol. 2005, 506(3):237-40. "
60,Streptomycin sulfate,1-F11,3810-74-0,"125µl,10mMol/L",Streptomycin sulfate is a sulfate salt of streptomycin that is a protein synthesis inhibitor.,2C21H39N7O12.3H2SO4,1457.38,"USP, INN, BAN, JAN","1. Li J, et al. Biotechnol Prog. 2012 May-Jun;28(3):733-9. "
61,Clofibric acid,1-G2,882-09-7,"125µl,10mMol/L",Clofibric acid is a PPARa agonist and hypolipidemic agent.,C10H11ClO3,214.65,INN,"1. Richert L, et al. Toxicol Appl Pharmacol, 2003, 191(2), 130-146."
62,Folic acid,1-G3,59-30-3,"125µl,10mMol/L","A member of the vitamin B family that stimulates the hematopoietic system. It is present in the liver and kidney and is found in mushrooms, spinach, yeast, green leaves, and grasses (POACEAE). Folic acid is used in the treatment and prevention of folate deficiencies and megaloblastic anemia.  ",C19H19N7O6,441.4,"USP, INN, BAN, JAN","1. Shen F, et al. Biochemistry. 1995 Apr 25;34(16):5660-5. "
63,Isoleucin,1-G4,73-32-5,"125µl,10mMol/L",An essential branched-chain aliphatic amino acid found in many proteins. It is an isomer of LEUCINE. It is important in hemoglobin synthesis and regulation of blood sugar and energy levels. ,C6H13NO2,131.17,"BP,USP,EP,CP,JP","1. Korman SH, et al. Clin Chem. 2005 Mar;51(3):610-7. "
64,Adenine,1-G5,73-24-5,"125µl,10mMol/L","Adenine is a purine derivative and a nucleobase with a variety of roles in biochemistry. Adenine is a purine derivative and a nucleobase with a variety of roles in biochemistry including cellular respiration, in the form of both the energy-rich adenosine triphosphate (ATP) and the cofactors nicotinamide adenine dinucleotide (NAD) and flavin adenine dinucleotide (FAD), and protein synthesis, as a chemical component of DNA and RNA.",C5H5N5,135.13,"USP, JAN","1. Barrett C, et al. Assay Drug Dev Technol. 2006 Dec;4(6):661-9. "
65,Acetaminophen,1-G6,103-90-2,"125µl,10mMol/L","Analgesic antipyretic derivative of acetanilide. It has weak anti-inflammatory properties and is used as a common analgesic, but may cause liver, blood cell, and kidney damage. ",C8H9NO2,151.16,"USP, INN, BAN","1. Botting R, Ayoub SS. Prostaglandins Leukot Essent Fatty Acids. 2005 Feb;72(2):85-7. "
66,Dichlorophen,1-G7,97-23-4,"125µl,10mMol/L","Nontoxic laxative vermicide effective for taenia infestation. It tends to produce colic and nausea. It is also used as a veterinary fungicide, anthelmintic, and antiprotozoan. (From Merck, 11th ed.) ",C13H10Cl2O2,269.13,"INN, BAN","1. Langrand J, et al. Clin Toxicol (Phila). 2013 Mar;51(3):178-81."
67,Oxiniacic Acid,1-G8,2398-81-4,"125µl,10mMol/L",Compounds useful for inhibition of farnesyl protein transferase [US6689789],C6H5NO3,139.11,INN,"1. Atac A, et al. Spectrochim Acta A Mol Biomol Spectrosc. 2012 Jan;85(1):145-54."
68,Fluphenazine HCl,1-G9,146-56-5,"125µl,10mMol/L","A phenothiazine used in the treatment of PSYCHOSES. Its properties and uses are generally similar to those of CHLORPROMAZINE.  
",C22H28Cl2F3N3OS,510.44,"USP, BAN, JAN","1. Qin ZH, Weiss B. Eur J Pharmacol. 1994 Sep 15;269(1):25-33. "
69,Uracil,1-G10,66-22-8,"125µl,10mMol/L",Uracil is one of the four nucleobases in the nucleic acid of RNA can be used for drug delivery and as a pharmaceutical.,C4H4N2O2,112.09,"USAN, JAN","1. Imming P, et al. Nat Rev Drug Discov. 2006 Oct; 5(10):821-34. 
"
70,Pentoxifylline,1-G11,1677687,"125µl,10mMol/L",A METHYLXANTHINE derivative that inhibits phosphodiesterase and affects blood rheology. It improves blood flow by increasing erythrocyte and leukocyte flexibility. It also inhibits platelet aggregation. Pentoxifylline modulates immunologic activity by stimulating cytokine production. ,C13H18N4O3,278.31,"USP, INN, BAN, JAN","1. Daly JW, et al. Prog Clin Biol Res. 1987;230:41-63. "
71,Homosalate,1-H2,118-56-9,"125µl,10mMol/L","Homosalate is an organic compound used in some sunscreens. It is an ester formed from salicylic acid and 3,3,5-trimethylcyclohexanol, a derivative of cyclohexanol. Contained in 45% of U.S. sunscreens, it is used as a chemical UV filter. ",C16H22O3,262.35,"USP, INN","1. Kim TH, et al. J Toxicol Environ Health A. 2014;77(4):202-13. "
72,Adiphenine HCl,1-H3,50-42-0,"125µl,10mMol/L","Adiphenine HCl is a nicotinic receptor inhibitor, used as an antispasmodic drug.",C20H25NO2.HCl,347.88,"USAN, INN","1. Spitzmaul G, et al. Br J Pharmacol. 2009 Jul;157(5):804-17. "
73,Octyl 4-methoxycinnamate,1-H4,5466-77-3,"125µl,10mMol/L","Its primary use is in sunscreens and other cosmetics to absorb UV-B rays from the sun, protecting the skin from damage. It is also used to reduce the appearance of scars.",C18H26O3,290.4,"USP, INN","1. Hayden CG, et al. Skin Pharmacol Physiol. 2005 Jul-Aug;18(4):170-4. "
74,Chlorprothixene,1-H5,113-59-7,"125µl,10mMol/L",Chlorprothixene is a typical antipsychotic drug of the thioxanthene class and was the first of the series to be synthesized.,C18H18ClNS,315.86,"USP-XIII, INN, BAN, JAN","1. Froimowitz M, Cody V. J Med Chem. 1993 Jul 23;36(15):2219-27."
75,Paliperidone,1-H6,144598-75-4,"125µl,10mMol/L","Paliperidone(Invega) is an atypical antipsychotic. Chemically, paliperidone is the primary active metabolite of the older atypical antipsychotic risperidone. It is indicated for the acute and maintenance treatment of schizophrenia. ",C23H27FN4O3,426.48,"USAN, INN, BAN","1. Richelson E, Souder T. Life Sci. 2000 Nov 24;68(1):29-39."
76,Dantrolene sodium salt,1-H7,14663-23-1,"125µl,10mMol/L","Skeletal muscle relaxant that acts by interfering with excitation-contraction coupling in the muscle fiber. It is used in spasticity and other neuromuscular abnormalities. Although the mechanism of action is probably not central, dantrolene is usually grouped with the central muscle relaxants. ",C14H9N4NaO5,336.23,"USAN, INN, BAN, JAN","1. Paul-Pletzer K, et al. J Biol Chem. 2002 Sep 20;277(38):34918-23."
